profession,rarity,group,depends on,gender specific,definition,percent,aka,work location,work location name
royal food taster,5,government,,,,0.01%,,own residence,palace
rugmaker,5,craftsman,,,,0.01%,rugweaver,shop/own residence,rug shop
sacristan,5,religion,,,"officer charged with care of the sacristy, the church, and their contents",0.01%,,shop,church
saddler,5,craftsman,,,,0.01%,,shop/own residence,saddle shop
sailmaker,5,craftsman,,,,0.01%,,shop/own residence,sailmaker's shop
saltboiler,5,craftsman,,,makes salt by boiling water,0.01%,,shop/own residence,saltboiler's shop
salter,5,commerce,,,makes or deals in salt,0.01%,,shop/own residence,salter's shop
sapper,5,military,,,specialist in field fortifications,0.01%,,outside of town,
scholar,5,education,,,,0.01%,,shop,school
sculptor,5,artisan,,,,0.01%,,shop/own residence,sculptor's shop
scythesmith,5,craftsman,,,,0.01%,,shop/own residence,scythesmith's shop
seneschal,5,service,,,senior steward,0.01%,,own residence,
sergeant-at-arms,5,government,,,,0.01%,,around town,
ship provisioner,5,transportation,,,,0.01%,shipchandler,outside of town,ship
siege pioneer,5,military,,,,0.01%,,outside of town,
siever,5,craftsman,,,makes sieves,0.01%,,shop/own residence,siever's shop
silk-carder,5,craftsman,,,cards silk,0.01%,,shop/own residence,silk shop
silk-dresser,5,craftsman,,,prepares silk for weaving,0.01%,,shop/own residence,silk shop
silk-dyer,5,craftsman,"dyer, silk-maker",,,0.01%,,shop/own residence,silk shop
silkmaid,5,craftsman,,,makes items out of silk,0.01%,,shop/own residence,silkmaid's shop
silversmith,5,craftsman,,,,0.01%,,shop/own residence,silversmith's shop
sperviter,5,service,,,a keeper of sparrow-hawks,0.01%,,own residence,
spice merchant,5,commerce,,,,0.01%,spicer,shop/own residence,spice merchant's shop
spooner,5,craftsman,,,spoon maker,0.01%,,shop/own residence,spoon shop
spurrer,5,craftsman,,,makes spurs,0.01%,,shop/own residence,spurrer's shop
stainer,5,craftsman,,,a person who stains wool,0.01%,,shop/own residence,stainer's shop
stationer,5,craftsman,,,"a seller of books, or a copyist",0.01%,,shop/own residence,bookmaker's shop
stonecarver,5,artisan,,,,0.01%,,shop/own residence,stonecarver's shop
storyteller,5,entertainment,,,,0.01%,,around town,
stringer,5,craftsman,,,"a maker of rope or strings, and especially those for the famous English longbows used for both hunting and war",0.01%,,shop/own residence,string shop
summoner,5,religion,,,"an officer of an ecclesiastical court, usually that of a bishop or an archdeacon, whose job it was to deliver a summons to an offending member of the diocese. Offenses dealt with by such courts included ""sins of immorality, witchcraft, usury, simony, neglect of the sacraments, and withholding tithes or offering""",0.01%,,shop,church
swordsmith,5,craftsman,,,,0.01%,,shop/own residence,swordsmith's shop
tapicer,5,craftsman,,,makes tapestries,0.01%,,shop/own residence,tapicer's shop
theologian,5,education,,,,0.01%,,own residence,
typefounder,5,craftsman,,,,0.01%,,shop/own residence,typefoundry
unguentary,5,craftsman,apothecary,,makes salves and balms,0.01%,,shop/own residence,unguentary's shop
upholsterer,5,craftsman,furniture maker,,,0.01%,,shop/own residence,upholsterer's shop
vaginarius,5,craftsman,swordsmith,,makes sheaths,0.01%,scabbard maker,shop/own residence,swordsmith's shop
weeper,5,service,,,,0.01%,,own residence,
weirkeeper,5,agriculture,,,a keeper of fish traps,0.01%,,outside of town,river
wiredrawer,5,craftsman,,,,0.01%,,shop/own residence,wiredrawer's shop
wool stapler,5,commerce,,,,0.01%,,shop/own residence,wool stapler's shop
beadle,6,education,,,"a ceremonial officer of a church, college, or similar institution",0.001%,,shop,school
clockmaker,6,craftsman,,,,0.001%,,shop/own residence,clockmaker's shop
emperor,6,government,,,,0.001%,,own residence,palace
keeper of the privy seal,6,government,,,keeps the monarchs personal seal,0.001%,,own residence,
keeper of the rolls,6,government,,,the second most senior judge in wales and england,0.001%,,own residence,
keeper of the wardrobe,6,government,king,,http://en.wikipedia.org/wiki/Wardrobe_(government),0.001%,,own residence,
king,6,government,,,,0.001%,,own residence,palace
meistersinger,6,entertainment,,,master singer,0.001%,,around town,
mintmaster,6,government,minter,,,0.001%,,shop,mint
paperer,6,service,,,inserted needles into paper to prepare for selling,0.001%,,own residence,
pope,6,religion,,,,0.001%,,own residence,cathedral
tasseler,6,craftsman,,,,0.001%,,shop/own residence,tasseler's shop
waferer,6,craftsman,,,makes wafers,0.001%,,shop/own residence,waferer's shop
knapper,7,craftsman,,,makes stone knives and tools,0%,,own residence,
pardoner,7,religion,,,"THE PARDONER WAS A MEDIEVAL OFFICIAL. HE WAS ENGAGED IN THREE ACTIVITIES: 1--SELLING INDULGENCES, 2-SELLING RELICS AND 3-PREACHING.",0%,,own residence,
